,SMILES,title,conformer,i_i_glide_lignum,r_glide_cpu_time,r_i_docking_score
0,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.67,-4.68874
1,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.68,-5.36012
2,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.68,-3.11381
3,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.69,-2.97616
4,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.69,-3.28062
5,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.7,-3.49919
6,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.7,-2.17451
7,COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,2,2,7.7,-5.78822
8,COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,2,2,7.7,-6.54982
9,COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,2,2,7.71,-7.38283
10,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.25,7.83458
11,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.26,8.5579
12,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.26,8.1676
13,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.26,9.51396
14,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.26,10.0331
15,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.27,9.12318
16,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.27,9.63184
