SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",1,Done,12.67,-4.68874,"gpcr_grid",-7.53484,-3.14863,-0.32,-0,-0.870788,-48.0396,-7.35371,0.309618,0,-70.83,-55.3934,14.3278
COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",1,Done,12.68,-5.36012,"gpcr_grid",-8.20622,-3.79541,-0.420469,-0,-1.12251,-39.2945,-8.08479,0.309618,0,-60.1289,-47.3793,23.6004
COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",1,Done,12.68,-3.11381,"gpcr_grid",-5.95991,-3.53491,-0.0676975,-0,-0.399978,-43.3023,-0.463158,0.309618,-0.0323563,-50.8478,-43.7654,21.6078
COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",1,Done,12.69,-2.97616,"gpcr_grid",-5.82226,-3.90765,-0.19876,-0,0.295873,-37.5182,-2.96953,0.309618,0,-40.9586,-40.4878,25.5532
COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",1,Done,12.69,-3.28062,"gpcr_grid",-6.12672,-3.35131,0,-0,-0.673657,-22.0727,-8.60064,0.309618,-0.0176458,-39.3025,-30.6733,19.4819
COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",1,Done,12.7,-3.49919,"gpcr_grid",-6.34529,-3.52264,-0.512558,-0,-0.678417,-22.984,-4.52182,0.309618,-0.113825,-35.7996,-27.5058,21.4661
COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",1,Done,12.7,-2.17451,"gpcr_grid",-5.02061,-3.1862,-0.0520881,-0,-0.490638,-19.2368,-4.1781,0.309618,-0.0127447,-26.6215,-23.4149,23.2078
COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",2,Done,7.7,-5.78822,"gpcr_grid",-5.79312,-3.52498,0,-0,0.677023,-34.5453,-10.0579,0.307281,-0.0164932,-36.3479,-44.6032,17.4707
COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",2,Done,7.7,-6.54982,"gpcr_grid",-6.55472,-2.81514,-0.32,-0,-1.04896,-21.188,-10.79,0.307281,0,-28.6804,-31.978,19.6833
COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,"0",2,Done,7.71,-7.38283,"gpcr_grid",-7.38773,-3.87307,-0.31255,-0,-1.0507,-25.6004,-7.80233,0.307281,-0.00832716,-28.1639,-33.4027,25.2153
